site,informant,management,potential_rank
Atala Kamusio,ATA4,Control harvesting for food and fodder,10
Atala Kamusio,ATA5,Control harvesting for food and fodder,9
Atala Kamusio,ATA6,Control harvesting for food and fodder,8
Atala Kamusio,ATA7,Control harvesting for food and fodder,10
Atala Kamusio,ATA8,Control harvesting for food and fodder,10
Atala Kamusio,ATA9,Control harvesting for food and fodder,7
Atala Kamusio,ATA10,Control harvesting for food and fodder,12
Atala Kamusio,ATA11,Control harvesting for food and fodder,7
Atala Kamusio,ATA12,Control harvesting for food and fodder,10
Atala Kamusio,ATA13,Control harvesting for food and fodder,8
Atala Kamusio,ATA14,Control harvesting for food and fodder,7
Atala Kamusio,ATA1,Conserve in sacred areas,7
Atala Kamusio,ATA2,Conserve in sacred areas,6
Atala Kamusio,ATA3,Conserve in sacred areas,6
Atala Kamusio,ATA4,Conserve in sacred areas,7
Atala Kamusio,ATA5,Conserve in sacred areas,8
Atala Kamusio,ATA6,Conserve in sacred areas,9
Atala Kamusio,ATA7,Conserve in sacred areas,7
Atala Kamusio,ATA8,Conserve in sacred areas,6
Atala Kamusio,ATA9,Conserve in sacred areas,8
Atala Kamusio,ATA10,Conserve in sacred areas,8
Atala Kamusio,ATA11,Conserve in sacred areas,7
Atala Kamusio,ATA12,Conserve in sacred areas,6
Atala Kamusio,ATA13,Conserve in sacred areas,8
Atala Kamusio,ATA14,Conserve in sacred areas,9
Atala Kamusio,ATA1,Assess nutrition and toxicity,8
Atala Kamusio,ATA2,Assess nutrition and toxicity,10
Atala Kamusio,ATA3,Assess nutrition and toxicity,6
Atala Kamusio,ATA4,Assess nutrition and toxicity,6
Atala Kamusio,ATA5,Assess nutrition and toxicity,10
Atala Kamusio,ATA6,Assess nutrition and toxicity,6
Atala Kamusio,ATA7,Assess nutrition and toxicity,7
Atala Kamusio,ATA8,Assess nutrition and toxicity,7
Atala Kamusio,ATA9,Assess nutrition and toxicity,6
Atala Kamusio,ATA10,Assess nutrition and toxicity,6
Atala Kamusio,ATA11,Assess nutrition and toxicity,7
Atala Kamusio,ATA12,Assess nutrition and toxicity,10
Atala Kamusio,ATA13,Assess nutrition and toxicity,11
Atala Kamusio,ATA14,Assess nutrition and toxicity,7
Atala Kamusio,ATA1,"Selection, propagation, processing and marketing",9
