plot_id,site,threat,rank_threat
ATA_14,Atala Kamusio,Overstocking/overgrazing,6
ATA_15,Atala Kamusio,Overstocking/overgrazing,9
ATA_16,Atala Kamusio,Overstocking/overgrazing,6
ATA_17,Atala Kamusio,Overstocking/overgrazing,7
ATA_18,Atala Kamusio,Overstocking/overgrazing,8
ATA_19,Atala Kamusio,Overstocking/overgrazing,6
ATA_20,Atala Kamusio,Overstocking/overgrazing,9
ATA_21,Atala Kamusio,Overstocking/overgrazing,10
ATA_22,Atala Kamusio,Overstocking/overgrazing,7
ATA_23,Atala Kamusio,Overstocking/overgrazing,8
ATA_24,Atala Kamusio,Overstocking/overgrazing,7
ATA_25,Atala Kamusio,Overstocking/overgrazing,8
ATA_26,Atala Kamusio,Overstocking/overgrazing,8
ATA_27,Atala Kamusio,Overstocking/overgrazing,10
ATA_28,Atala Kamusio,Overstocking/overgrazing,10
ATA_29,Atala Kamusio,Overstocking/overgrazing,9
ATA_30,Atala Kamusio,Overstocking/overgrazing,7
ATA_31,Atala Kamusio,Overstocking/overgrazing,7
ATA_32,Atala Kamusio,Overstocking/overgrazing,8
ATA_33,Atala Kamusio,Overstocking/overgrazing,6
ATA_34,Atala Kamusio,Overstocking/overgrazing,6
ATA_35,Atala Kamusio,Overstocking/overgrazing,6
ATA_36,Atala Kamusio,Overstocking/overgrazing,10
ATA_37,Atala Kamusio,Overstocking/overgrazing,7
ATA_38,Atala Kamusio,Overstocking/overgrazing,7
ATA_39,Atala Kamusio,Overstocking/overgrazing,8
ATA_40,Atala Kamusio,Overstocking/overgrazing,10
ATA_41,Atala Kamusio,Overstocking/overgrazing,6
ATA_42,Atala Kamusio,Overstocking/overgrazing,7
ATA_43,Atala Kamusio,Overstocking/overgrazing,9
ATA_44,Atala Kamusio,Overstocking/overgrazing,8
ATA_45,Atala Kamusio,Overstocking/overgrazing,8
ATA_46,Atala Kamusio,Overstocking/overgrazing,9
ATA_47,Atala Kamusio,Overstocking/overgrazing,10
ATA_48,Atala Kamusio,Overstocking/overgrazing,7
ATA_49,Atala Kamusio,Overstocking/overgrazing,8
ATA_50,Atala Kamusio,Overstocking/overgrazing,10
ATA_51,Atala Kamusio,Overstocking/overgrazing,7
ATA_52,Atala Kamusio,Overstocking/overgrazing,7
ATA_53,Atala Kamusio,Overstocking/overgrazing,6
ATA_54,Atala Kamusio,Overstocking/overgrazing,6
ATA_55,Atala Kamusio,Overstocking/overgrazing,6
ATA_56,Atala Kamusio,Overstocking/overgrazing,6
ATA_57,Atala Kamusio,Overstocking/overgrazing,8
ATA_58,Atala Kamusio,Overstocking/overgrazing,9
ATA_59,Atala Kamusio,Overstocking/overgrazing,8
ATA_60,Atala Kamusio,Overstocking/overgrazing,10
ATA_61,Atala Kamusio,Overstocking/overgrazing,8
ATA_62,Atala Kamusio,Overstocking/overgrazing,10
ATA_63,Atala Kamusio,Overstocking/overgrazing,10
ATA_64,Atala Kamusio,Overstocking/overgrazing,8
ATA_65,Atala Kamusio,Overstocking/overgrazing,9
ATA_66,Atala Kamusio,Overstocking/overgrazing,6
ATA_67,Atala Kamusio,Overstocking/overgrazing,8
ATA_68,Atala Kamusio,Overstocking/overgrazing,10
ATA_69,Atala Kamusio,Overstocking/overgrazing,6
ATA_70,Atala Kamusio,Overstocking/overgrazing,9
ATA_71,Atala Kamusio,Overstocking/overgrazing,8
ATA_72,Atala Kamusio,Overstocking/overgrazing,6
ATA_73,Atala Kamusio,Overstocking/overgrazing,9
ATA_74,Atala Kamusio,Overstocking/overgrazing,7
ATA_75,Atala Kamusio,Overstocking/overgrazing,7
ATA_76,Atala Kamusio,Overstocking/overgrazing,9
ATA_77,Atala Kamusio,Overstocking/overgrazing,8
ATA_78,Atala Kamusio,Overstocking/overgrazing,7
ATA_79,Atala Kamusio,Overstocking/overgrazing,10
ATA_80,Atala Kamusio,Overstocking/overgrazing,10
LOP_1,Lopur,Overstocking/overgrazing,6
LOP_2,Lopur,Overstocking/overgrazing,8
LOP_3,Lopur,Overstocking/overgrazing,6
LOP_4,Lopur,Overstocking/overgrazing,6
LOP_5,Lopur,Overstocking/overgrazing,7
